Name,CAS no.,Mol. wt.,C1,C2,C3,C4,C5,"Tmin, K","Tmax, K"
Acetaldehyde,75-07-0,44.053,115100,-433,1.425,,,150.15,294
Acetamide,60-35-5,59.067,102300,128.7,,,,354.15,571
Acetic acid,64-19-7,60.052,139640,-320.8,0.8985,,,289.81,391.05
Acetic anhydride,108-24-7,102.089,36600,511,,,,250,350
Acetone,67-64-1,58.079,135600,-177,0.2837,0.000689,,178.45,329.44
Acetonitrile,64047,41.052,97582,-122.2,0.34085,,,229.32,354.75
Acetylene,74-86-2,26.037,-122020,3082.7,-15.895,0.027732,,192.4,250
Acrolein,107-02-8,56.063,103090,-247.8,1.0343,,,253,379.5
Acrylic acid,65660,72.063,55300,300,,,,286.15,375
Acrylonitrile,107-13-1,53.063,109900,-109.75,0.35441,,,189.63,400
Air,132259-10-0,28.96,-214460,9185.1,-106.12,0.41616,,75,115
Anisole,100-66-3,108.138,150940,93.455,0.23602,,,298.15,484.2
Argon,7440-37-1,39.948,134390,-1989.4,11.043,,,83.78,135
Benzamide,55-21-0,121.137,161440,260.66,,,,403,563.15
Benzene,71-43-2,78.112,129440,-169.5,0.64781,,,278.68,353.24
Benzene,71-43-2,78.112,162940,-344.94,0.85562,,,278.68,500
Benzenethiol,108-98-5,110.177,119780,180.34,,,,258.27,442.29
Benzoic acid,65-85-0,122.121,-5480,647.12,,,,395.45,450
Benzonitrile,100-47-0,103.121,93383,242.61,,,,260.4,464.15
Benzyl ethyl ether,539-30-0,136.191,87500,480,,,,275.65,458.15
Benzyl mercaptan,100-53-8,124.203,100320,346.89,,,,243.95,472.03
Biphenyl,92-52-4,154.208,121770,429.3,,,,342.2,533.37
Bromine,7726-95-6,159.808,179400,-667.11,1.0701,,,265.9,331.9
Bromobenzene,108-86-1,157.008,121600,-9.45,0.358,,,293.15,495.08
"1,2-Butadiene",590-19-2,54.09,135150,-311.14,0.97007,-0.0001523,,136.95,290
"1,3-Butadiene",106-99-0,54.09,128860,-323.1,1.015,3.2E-05,,165,350
Butane,106-97-8,58.122,191030,-1675,12.5,-0.03874,4.6121E-05,134.86,400
